word,count
georgia,66
fresh,66
paper,66
roots,66
august,66
bottom,66
auspicious,66
simple,65
carry,65
ball,65
history,65
kings,65
shoes,65
dress,64
seeing,64
taste,64
neck,64
catch,64
listen,64
fill,64
standing,64
week,64
plan,64
taylor,64
hook,63
guitar,63
solo,63
wine,63
scene,63
sitting,63
south,63
tongue,63
across,63
ahead,62
finally,62
bodies,62
following,62
brothers,62
boat,62
angel,62
places,62
changed,62
glory,62
missing,61
fool,61
mess,61
james,61
mercy,61
older,61
send,61
push,60
memories,60
hole,60
tired,60
friday,60
river,60
merchant,60
makin,60
september,60
form,60
nas,60
thomas,59
miles,59
eat,59
breath,59
folk,59
pleasure,59
jump,59
raised,58
check,58
ancient,58
youth,58
shame,58
dumb,58
david,58
double,58
honest,58
answer,58
constantinople,58
learn,58
famous,58
wrote,58
attack,58
lines,57
leaving,57
supposed,57
lee,57
beauty,57
daylight,57
anyway,57
tear,57
bought,57
ill,57
koran,57
looks,57
post,57
playing,57
christmas,57
paid,57
mountain,56
groove,56
meant,56
drew,56
storm,56
bitches,56
boo,56
cup,56
window,56
sword,56
cash,56
battle,56
harder,56
presence,56
wayne,56
thug,56
wear,56
sand,55
walking,55
laid,55
drinking,55
goodbye,55
brain,55
ariana,55
grand,55
lover,55
stranger,55
quit,55
dirt,55
public,55
matt,55
promise,55
society,55
chase,55
bade,55
sat,55
honour,55
shakespeare,55
win,55
beating,55
crowd,54
least,54
jungle,54
wept,54
nowhere,54
trees,54
sultan,54
however,54
table,54
brand,54
weekend,54
corner,54
morgan,54
attention,54
jones,54
almighty,54
ago,54
spot,53
held,53
knock,53
often,53
artist,53
behold,53
welcome,53
bear,53
dear,53
cross,53
later,53
step,53
southern,53
verily,52
telling,52
either,52
bass,52
princess,52
bones,52
shoot,52
within,52
rush,52
swift,52
calling,52
wide,52
list,52
legs,52
golden,52
natural,52
needs,52
knees,52
lean,52
trip,52
piece,51
returned,51
juice,51
paul,51
baghdad,51
escape,51
jay,51
learned,51
hang,51
clear,51
birth,51
savage,51
gives,51
moonlight,50
darkness,50
mirror,50
reality,50
pocket,50
million,50
flight,50
american,50
title,50
problem,50
bleed,50
stood,50
presently,50
heads,50
tom,50
cat,50
fireman,50
martin,50
north,50
sunshine,50
business,50
sunday,50
yellow,50
imagine,50
jeans,50
wilt,50
evil,49
popular,49
pray,49
sleeping,49
messiah,49
brooks,49
johnny,49
hanging,49
judge,49
date,49
stupid,49
mike,49
master,49
grey,48
action,48
bill,48
third,48
instrumental,48
hence,48
happen,48
pride,48
harris,48
race,48
grow,48
carried,48
boots,48
safe,48
gang,47
style,47
question,47
sounds,47
fault,47
special,47
office,47
warm,47
whip,47
mac,47
skies,47
field,47
dying,47
anywhere,47
ladies,46
self,46
force,46
blind,46
billy,46
williams,46
walls,46
plans,46
belong,46
chaos,46
mohammed,46
fucked,46
somewhere,46
grace,46
apple,46
yesterday,46
page,46
hearing,46
finger,46
knowledge,45
dick,45
super,45
forward,45
california,45
picture,45
pilgrimage,45
scott,45
proud,45
beach,45
cast,45
pretend,45
damascus,45
weather,45
cock,45
french,45
silver,45
moving,45
food,45
florida,45
large,45
rule,45
view,45
original,45
motion,45
loves,44
numb,44
count,44
general,44
ghost,44
keeps,44
nature,44
bag,44
funk,44
chief,44
strait,44
tyler,44
paint,44
panda,44
higher,44
key,44
kick,44
wave,44
strength,43
funny,43
