Song,Artist,sentiment_category
"Dance, Dance",Fall Out Boy,positive
Dance Monkey,Tones And I,positive
Dancing in My Room,347aidan,positive
Dancing in the Moonlight,Toploader,positive
Dancin - Krono Remix,Aaron Smith,positive
Dangerous,Big Data,positive
Dani California,Red Hot Chili Peppers,positive
Darkside,blink-182,negative
Day Drunk,Morgan Evans,negative
Daylight,Matt and Kim,positive
Daylight,Maroon 5,positive
Day 'N' Nite (nightmare),Kid Cudi,positive
Dear God,Hunter Hayes,positive
"deathwish (feat. nothing,nowhere.)",Stand Atlantic,negative
Deep End Freestyle,Sleepy Hallow,negative
Deja Vu,J. Cole,positive
Delirious (Boneless) (feat. Kid Ink),Steve Aoki,negative
Despacito,Luis Fonsi,positive
Desperate Man,Eric Church,positive
DEVIL,Shinedown,positive
Dicked Down in Dallas,Trey Lewis,negative
Dirt On My Boots,Jon Pardi,positive
Dirty Thoughts,Chloe Adams,negative
Dissolve,Absofacto,positive
Does To Me (feat. Eric Church),Luke Combs,positive
Do I,Luke Bryan,positive
Do It To It,ACRAZE,positive
Do I Wanna Know?,Arctic Monkeys,positive
Donald Trump,Mac Miller,negative
Don't Let Me Down,The Chainsmokers,negative
Don't Mind,Kent Jones,negative
Don't Start Now,Dua Lipa,negative
The Downfall of Us All,A Day To Remember,positive
Down On The Corner,Creedence Clearwater Revival,positive
Down with the Sickness,Disturbed,positive
Dreams - 2004 Remaster,Fleetwood Mac,positive
Dress,Charlotte Sands,negative
Drift Away,Uncle Kracker,positive
Drink Up,Train,positive
drivers license,Olivia Rodrigo,positive
Driving Me Crazy,Sammy Adams,negative
Drunk On A Plane,Dierks Bentley,positive
Drunk on Your Love,Brett Eldredge,negative
Dumb Ways to Die,Tangerine Kitty,positive
E,Matt Mason,positive
Earned It (Fifty Shades Of Grey),The Weeknd,positive
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,positive
Eighteen Cool,Hoodie Allen,positive
Electric Love,BØRNS,negative
Empire State Of Mind,JAY-Z,positive
Enemies,Shinedown,positive
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,positive
Even Though I'm Leaving,Luke Combs,positive
Everybody Wants To Rule The World,Tears For Fears,positive
Every Other Memory,Ryan Hurd,positive
EVOLVE,Shinedown,positive
Ex's & Oh's,Elle King,positive
Face Down,The Red Jumpsuit Apparatus,positive
Fall,Eminem,negative
Falling,Trevor Daniel,positive
Fall In Love,Bailey Zimmerman,positive
Fancy Like,Walker Hayes,negative
Farmer's Daughter,Rodney Atkins,positive
Fashionably Late,Falling In Reverse,positive
Fat Lip,Sum 41,positive
Feed the Machine,Poor Man's Poison,positive
Feeling Good,Michael Bublé,positive
Feel It Still,Portugal. The Man,negative
Feels Like Summer,Weezer,positive
Feel So Close - Radio Edit,Calvin Harris,positive
Fight Back,NEFFEX,positive
Fight Song,Rachel Platten,positive
Fine Apple,Nic D,positive
First Date,blink-182,positive
First Day Out,Tee Grizzley,positive
Fishin' in the Dark,Nitty Gritty Dirt Band,positive
Five More Hours,Deorro,positive
Fix,Chris Lane,negative
Fix a Drink,Chris Janson,positive
Flora-Bama,Kenny Chesney,positive
Flower,Moby,negative
FMRN,Lilyisthatyou,negative
Follow Me,Uncle Kracker,positive
forget me too (feat. Halsey),Machine Gun Kelly,positive
Fortunate Son,Creedence Clearwater Revival,positive
Fourth Of July,Fall Out Boy,positive
