Song,Artist,sentiment_category
Stitches,Shawn Mendes,positive
Stolen Dance,Milky Chance,positive
Story of My Life,One Direction,positive
Strange Behaviour - Original Mix,Feed Me,positive
Stressed Out,Twenty One Pilots,positive
Strip That Down,Liam Payne,negative
Stuck In Your Head,I Prevail,positive
Style,Taylor Swift,positive
Sucker for Pain,Lil Wayne,positive
Sugar,Maroon 5,positive
"Sugar, We're Goin Down",Fall Out Boy,negative
Summer,Calvin Harris,positive
Summit (feat. Ellie Goulding),Skrillex,negative
Sunday Best,Surfaces,positive
Sunroof,Nicky Youre,positive
Sunshine,Atmosphere,positive
Supalonely,BENEE,negative
Sway,Danielle Bradbery,positive
Sweet Home Alabama,Lynyrd Skynyrd,positive
Take a Walk,Passion Pit,positive
Take It All,Pop Evil,positive
Take It All Back 2.0,Judah & the Lion,positive
"Take Me Home, Country Roads",John Denver,positive
Take My Name,Parmalee,positive
Take Your Time,Sam Hunt,negative
Talk,Khalid,negative
Talking Body,Tove Lo,negative
Talk You Out Of It,Florida Georgia Line,positive
Tampa,Cico P,negative
Teenagers,My Chemical Romance,negative
Tell Me You Love Me,Demi Lovato,negative
Tennessee Whiskey,Chris Stapleton,positive
Tequila Makes Her Clothes Fall Off,Joe Nichols,negative
That's How You Know,Amy Adams,positive
That's How You Know (feat. Kid Ink & Bebe Rexha),Nico & Vinz,positive
That's What I Like,Bruno Mars,negative
THATS WHAT I WANT,Lil Nas X,positive
There's Nothing Holdin' Me Back,Shawn Mendes,positive
There Was This Girl,Riley Green,negative
Thinking out Loud,Ed Sheeran,positive
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,negative
This Damn Song,Pecos & the Rooftops,positive
This Means War,Avenged Sevenfold,positive
Thnks fr th Mmrs,Fall Out Boy,positive
Thought You Should Know,Morgan Wallen,negative
A Thousand Miles,Vanessa Carlton,positive
Thunder,Imagine Dragons,positive
Tie Me Down,Taylor Ray Holbrook,positive
Tightrope,WALK THE MOON,positive
Tiimmy Turner,Desiigner,negative
Till I Collapse,Eminem,positive
'Til You Can't,Cody Johnson,positive
Too Good,Drake,positive
Treat You Better,Shawn Mendes,negative
Trenches,Pop Evil,positive
T-Shirt,Thomas Rhett,positive
Tsunami - Radio Edit,DVBBS,negative
Turnin' Me On,Blake Shelton,positive
Turn It Up,Oh The Larceny,positive
U Gurl,Walker Hayes,negative
Uma Thurman,Fall Out Boy,positive
UNAPOLOGETICALLY COUNTRY AS HELL,HARDY,negative
Unforgettable,Thomas Rhett,negative
Unholy (feat. Kim Petras),Sam Smith,positive
Unholy War,Jacob Banks,positive
Unison - Knife Party Remix,Porter Robinson,negative
Unsteady,X Ambassadors,negative
Unstoppable,The Score,negative
Until You Were Gone,The Chainsmokers,positive
Unwritten,Natasha Bedingfield,positive
Up All Night,ARTY,positive
Up Around The Bend,Creedence Clearwater Revival,negative
Up Down (feat. Florida Georgia Line),Morgan Wallen,positive
Uptown Funk (feat. Bruno Mars),Mark Ronson,positive
Up Up & Away,Kid Cudi,positive
Vacation,Thomas Rhett,positive
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,positive
Victoria's Secret,Jax,negative
Violet,Connor Price,positive
Wait,M83,positive
Wake Me Up Before You Go-Go,Wham!,positive
Wake Up,Mac Miller,positive
The Walker,Fitz and The Tantrums,negative
Walking On A Dream,Empire of the Sun,positive
Walls Could Talk,Halsey,positive
Warning,Morgan Wallen,negative
Wasted,Tiësto,negative
Wasted On You,Morgan Wallen,positive
Waste Love (feat. Madison Love),Machine Gun Kelly,negative
Wasting All These Tears,Austin Snell,negative
Watermelon Sugar,Harry Styles,positive
Way down We Go,KALEO,negative
The Way I Talk,Morgan Wallen,positive
We Come Running,Youngblood Hawke,positive
Weekend,Priory,negative
We Got The Beat,The Go-Go's,positive
Welcome to the Black Parade,My Chemical Romance,positive
Wellerman,The Longest Johns,positive
We Went,Randy Houser,positive
Whatever It Takes,Imagine Dragons,positive
What Guy Wouldn't,Waterloo Revival,positive
What I Can't Put Down,Jon Pardi,positive
What Ifs (feat. Lauren Alaina),Kane Brown,positive
What It's Like,Everlast,positive
What's My Age Again?,blink-182,negative
What You Know,Two Door Cinema Club,positive
When It Rains It Pours,Luke Combs,negative
Where The Hood At,DMX,negative
Wherever I Go,OneRepublic,positive
Whip It,DEVO,positive
Whiskey And Rain,Michael Ray,positive
Whiskey Glasses,Morgan Wallen,positive
White Walls (feat. ScHoolboy Q & Hollis),Macklemore & Ryan Lewis,positive
Why,Sabrina Carpenter,positive
Why We Drink,Justin Moore,positive
Wilder Days,Morgan Wade,positive
Wildest Dreams,Taylor Swift,positive
Wild Thing,JAXSON GAMBLE,positive
"Wine, Beer, Whiskey",Little Big Town,positive
Wishful Drinking (with Sam Hunt),Ingrid Andress,positive
Wish I Knew You,The Revivalists,positive
Without You,Luke Combs,positive
WITHOUT YOU,The Kid LAROI,negative
Wolves,Selena Gomez,positive
Wonderwall,Oasis,negative
Won't Go Down Easy,JAXSON GAMBLE,negative
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,positive
Work Out,J. Cole,negative
Work This Body,WALK THE MOON,positive
X Gon' Give It To Ya,DMX,positive
Years,Alesso,positive
Yo No Sé Mañana,Christian Nodal,positive
You Belong With Me,Taylor Swift,negative
You Broke Up with Me,Walker Hayes,positive
Youngblood,5 Seconds of Summer,positive
Young Volcanoes,Fall Out Boy,positive
You Proof,Morgan Wallen,positive
"You're Gonna Go Far, Kid",The Offspring,positive
You're Somebody Else,flora cash,positive
Your Man,Josh Turner,positive
You Want My Sister,1 Hour Band,positive
Budapest,George Ezra,positive
All My Love,George Ezra,positive
Sugarcoat,George Ezra,positive
I Will Wait,Mumford & Sons,positive
Anti-Hero,Taylor Swift,positive
The Summoning,Sleep Token,positive
The Middle,Jimmy Eat World,positive
Addicted,Saving Abel,positive
Self Love,Avery Anna,negative
Mama,My Chemical Romance,positive
FEEL NOTHING,The Plot In You,positive
Just Pretend,Bad Omens,positive
Tuff,Jaah SLT,negative
Animal,Neon Trees,positive
Everything I Love,Morgan Wallen,positive
We Got the Moves,Electric Callboy,positive
I Ain't Worried,OneRepublic,positive
golden hour,JVKE,positive
Daylight,David Kushner,positive
Violet,Connor Price,positive
Spinnin,Connor Price,negative
Buddy,Connor Price,positive
Jordan Belfort,Wes Walker,negative
